epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,857.367,1.0087,10.8642,0.01346,0.30117,0.23173,0.16231,0.13192,0.87856,9.88222,0.01227,0.00017454,0.00017454,0.00017454
2,1594.88,0.96541,8.01482,0.01176,0.34418,0.35618,0.32059,0.26451,0.83678,7.15441,0.01259,0.000315236,0.000315236,0.000315236
3,2401.6,0.95823,5.67418,0.01135,0.42522,0.57837,0.49667,0.41892,0.77974,4.58745,0.01082,0.000421216,0.000421216,0.000421216
4,3201.62,0.90673,3.8146,0.01044,0.56804,0.53851,0.59238,0.50237,0.81182,3.2006,0.0116,0.000369778,0.000369778,0.000369778
5,3927.7,0.8821,2.70255,0.01001,0.64706,0.6251,0.68817,0.58716,0.76106,2.19939,0.01027,0.000317704,0.000317704,0.000317704
6,4810.78,0.85958,2.0834,0.00974,0.70213,0.6679,0.74143,0.63074,0.76073,1.73059,0.01048,0.00026563,0.00026563,0.00026563
7,5612.21,0.82939,1.70326,0.00903,0.74069,0.69935,0.77852,0.66236,0.73752,1.46546,0.01035,0.000213556,0.000213556,0.000213556
8,6418.47,0.80593,1.49484,0.00868,0.83317,0.69648,0.80933,0.69261,0.72035,1.25039,0.0099,0.000161482,0.000161482,0.000161482
9,7233.21,0.78283,1.36244,0.0082,0.77724,0.73745,0.81916,0.71475,0.68595,1.16357,0.00906,0.000109408,0.000109408,0.000109408
10,8105.2,0.76256,1.28457,0.00786,0.82494,0.7275,0.82444,0.7199,0.66961,1.11607,0.00882,5.7334e-05,5.7334e-05,5.7334e-05
